"simulation","method","accuracy","prob_accuracy","tree_size"
129,"SAASI_pars",0.915057915057915,0.839332037128281,519
129,"PastML",0.602316602316602,0.589796776025416,519
129,"TreeTime_1.0",0.602316602316602,0.603921889401933,519
129,"TreeTime_Custom",0.613899613899614,0.610339746045687,519
13,"ACE",0.724907063197026,0.666578009570674,539
13,"SIMMAP",0.754646840148699,0.68814126394052,539
13,"SAASI",0.951672862453532,0.927419963730163,539
13,"SAASI_pars",0.947955390334573,0.857636968043112,539
13,"PastML",0.788104089219331,0.72624764290133,539
13,"TreeTime_1.0",0.828996282527881,0.760056907176814,539
13,"TreeTime_Custom",0.79182156133829,0.791678131412628,539
130,"ACE",0.56043956043956,0.548697174779479,365
130,"SIMMAP",0.593406593406593,0.565054945054945,365
130,"SAASI",0.923076923076923,0.906767844900634,365
130,"SAASI_pars",0.906593406593407,0.761798697283289,365
130,"PastML",0.538461538461538,0.54199179222838,365
130,"TreeTime_1.0",0.428571428571429,0.465240679284021,365
130,"TreeTime_Custom",0.423076923076923,0.442027659087707,365
131,"ACE",0.617529880478088,0.600113848228383,503
131,"SIMMAP",0.617529880478088,0.602270916334661,503
131,"SAASI",0.892430278884462,0.87631269108116,503
131,"SAASI_pars",0.880478087649402,0.83963053977125,503
131,"PastML",0.725099601593626,0.691338595872261,503
131,"TreeTime_1.0",0.709163346613546,0.681873563492958,503
131,"TreeTime_Custom",0.645418326693227,0.6466297434545,503
132,"ACE",0.595348837209302,0.627582898841335,431
132,"SIMMAP",0.655813953488372,0.664372093023256,431
132,"SAASI",0.958139534883721,0.936721788540742,431
132,"SAASI_pars",0.948837209302326,0.872795273798788,431
132,"PastML",0.613953488372093,0.644936543143486,431
132,"TreeTime_1.0",0.595348837209302,0.628311546419508,431
132,"TreeTime_Custom",0.567441860465116,0.604196179392421,431
133,"ACE",0.613953488372093,0.606455575587018,431
133,"SIMMAP",0.655813953488372,0.620279069767442,431
133,"SAASI",0.916279069767442,0.903326955343247,431
133,"SAASI_pars",0.911627906976744,0.822946505102044,431
133,"PastML",0.623255813953488,0.610775942148908,431
133,"TreeTime_1.0",0.623255813953488,0.611987414962942,431
133,"TreeTime_Custom",0.6,0.631229066362792,431
134,"ACE",0.667924528301887,0.630733546967888,531
134,"SIMMAP",0.679245283018868,0.636603773584906,531
134,"SAASI",0.89811320754717,0.874061701469372,531
134,"SAASI_pars",0.883018867924528,0.792120513818945,531
134,"PastML",0.732075471698113,0.668002622819255,531
134,"TreeTime_1.0",0.769811320754717,0.710754378181282,531
134,"TreeTime_Custom",0.777358490566038,0.749096876716928,531
135,"ACE",0.479674796747967,0.526448409019696,493
135,"SIMMAP",0.491869918699187,0.53650406504065,493
135,"SAASI",0.947154471544715,0.909488683021596,493
135,"SAASI_pars",0.902439024390244,0.834348257821046,493
135,"PastML",0.483739837398374,0.528330154424911,493
135,"TreeTime_1.0",0.434959349593496,0.496781333932289,493
135,"TreeTime_Custom",0.479674796747967,0.485331673645156,493
136,"ACE",0.497777777777778,0.519577758286513,451
136,"SIMMAP",0.502222222222222,0.519777777777778,451
136,"SAASI",0.933333333333333,0.905829012545255,451
136,"SAASI_pars",0.942222222222222,0.827139603607306,451
136,"PastML",0.493333333333333,0.549038626870358,451
136,"TreeTime_1.0",0.604444444444444,0.596741418464917,451
136,"TreeTime_Custom",0.595555555555556,0.58073485361727,451
137,"ACE",0.573122529644269,0.586702846287703,507
137,"SIMMAP",0.608695652173913,0.595138339920949,507
137,"SAASI",0.952569169960474,0.922336653193685,507
137,"SAASI_pars",0.909090909090909,0.799322972443946,507
137,"PastML",0.561264822134387,0.586589826970915,507
137,"TreeTime_1.0",0.592885375494071,0.617710898611334,507
137,"TreeTime_Custom",0.573122529644269,0.57525930722409,507
138,"ACE",0.504385964912281,0.513351620437591,457
138,"SIMMAP",0.495614035087719,0.515964912280702,457
138,"SAASI",0.93421052631579,0.917954117891844,457
138,"SAASI_pars",0.93421052631579,0.825307205975962,457
138,"PastML",0.543859649122807,0.549603184721152,457
138,"TreeTime_1.0",0.456140350877193,0.475602443393663,457
138,"TreeTime_Custom",0.416666666666667,0.423895064309395,457
139,"ACE",0.692708333333333,0.570602831999781,385
139,"SIMMAP",0.734375,0.571510416666667,385
139,"SAASI",0.963541666666667,0.937417006200735,385
139,"SAASI_pars",0.942708333333333,0.717537768184345,385
139,"PastML",0.734375,0.57938971214234,385
139,"TreeTime_1.0",0.833333333333333,0.782012930635844,385
139,"TreeTime_Custom",0.75,0.741819162323044,385
140,"ACE",0.513207547169811,0.519703156212278,531
140,"SIMMAP",0.528301886792453,0.53811320754717,531
140,"SAASI",0.920754716981132,0.900666670800038,531
140,"SAASI_pars",0.89433962264151,0.815538421583234,531
140,"PastML",0.558490566037736,0.557779201121234,531
140,"TreeTime_1.0",0.558490566037736,0.558422899900219,531
140,"TreeTime_Custom",0.532075471698113,0.544407981388784,531
141,"ACE",0.589371980676328,0.556545865200728,415
141,"SIMMAP",0.584541062801932,0.558647342995169,415
141,"SAASI",0.927536231884058,0.91082635616282,415
141,"SAASI_pars",0.922705314009662,0.825580812520003,415
141,"PastML",0.613526570048309,0.574294260557679,415
141,"TreeTime_1.0",0.676328502415459,0.625753699475294,415
141,"TreeTime_Custom",0.666666666666667,0.639765181916943,415
142,"ACE",0.560483870967742,0.565057735989229,497
142,"SIMMAP",0.560483870967742,0.559153225806452,497
142,"SAASI",0.903225806451613,0.87949846419708,497
142,"SAASI_pars",0.866935483870968,0.836547965832337,497
142,"PastML",0.689516129032258,0.676626279596133,497
142,"TreeTime_1.0",0.637096774193548,0.638380772745213,497
142,"TreeTime_Custom",0.600806451612903,0.625772553825321,497
143,"ACE",0.648148148148148,0.598869256291439,433
143,"SIMMAP",0.662037037037037,0.594351851851852,433
143,"SAASI",0.935185185185185,0.926385451493445,433
143,"SAASI_pars",0.916666666666667,0.769163386855564,433
143,"PastML",0.643518518518518,0.595514181691961,433
143,"TreeTime_1.0",0.851851851851852,0.786075306652019,433
143,"TreeTime_Custom",0.837962962962963,0.789877387467762,433
144,"ACE",0.543103448275862,0.546797517645056,465
144,"SIMMAP",0.603448275862069,0.563534482758621,465
144,"SAASI",0.922413793103448,0.899715889263212,465
144,"SAASI_pars",0.90948275862069,0.80384877186688,465
144,"PastML",0.547413793103448,0.550269079615756,465
144,"TreeTime_1.0",0.547413793103448,0.552444695196276,465
144,"TreeTime_Custom",0.599137931034483,0.6020227365534,465
145,"ACE",0.55868544600939,0.554854665064033,427
145,"SIMMAP",0.582159624413146,0.57906103286385,427
145,"SAASI",0.929577464788732,0.906218536881104,427
145,"SAASI_pars",0.92018779342723,0.78644597040215,427
145,"PastML",0.568075117370892,0.558671240561217,427
145,"TreeTime_1.0",0.671361502347418,0.659283433337911,427
145,"TreeTime_Custom",0.661971830985915,0.655126586474148,427
146,"ACE",0.449579831932773,0.510759757835261,477
146,"SIMMAP",0.483193277310924,0.535336134453781,477
146,"SAASI",0.941176470588235,0.90763500864918,477
146,"SAASI_pars",0.928571428571429,0.8432866134025,477
146,"PastML",0.495798319327731,0.555877340024029,477
146,"TreeTime_1.0",0.478991596638655,0.536800966960474,477
146,"TreeTime_Custom",0.478991596638655,0.487311238690784,477
147,"ACE",0.626126126126126,0.611468102670087,445
147,"SIMMAP",0.657657657657658,0.618468468468468,445
147,"SAASI",0.896396396396396,0.882320762971043,445
147,"SAASI_pars",0.887387387387387,0.795511143082853,445
147,"PastML",0.689189189189189,0.652640233925619,445
147,"TreeTime_1.0",0.788288288288288,0.7439613342451,445
147,"TreeTime_Custom",0.783783783783784,0.773315638444904,445
148,"ACE",0.756198347107438,0.635613316810346,485
148,"SIMMAP",0.768595041322314,0.645537190082645,485
148,"SAASI",0.950413223140496,0.926157443014198,485
148,"SAASI_pars",0.929752066115702,0.795825787845001,485
148,"PastML",0.731404958677686,0.627360678343905,485
148,"TreeTime_1.0",0.822314049586777,0.792291895467945,485
148,"TreeTime_Custom",0.772727272727273,0.787286305025392,485
149,"ACE",0.631799163179916,0.607177618775002,479
149,"SIMMAP",0.648535564853556,0.621213389121339,479
