"simulation","method","accuracy","prob_accuracy","tree_size"
151,"SIMMAP",0.899328859060403,0.85152125279642,895
151,"SAASI",0.959731543624161,0.945162007341903,895
151,"SAASI_pars",0.961968680089485,0.904191951175959,895
151,"PastML",0.876957494407159,0.808616782542594,895
151,"TreeTime_1.0",0.92841163310962,0.89692725491789,895
151,"TreeTime_Custom",0.92841163310962,0.907249265538481,895
152,"ACE",0.906172839506173,0.839074609927047,811
152,"SIMMAP",0.911111111111111,0.848148148148148,811
152,"SAASI",0.958024691358025,0.940234383998226,811
152,"SAASI_pars",0.950617283950617,0.895200171600472,811
152,"PastML",0.898765432098765,0.798568616723115,811
152,"TreeTime_1.0",0.908641975308642,0.861326139562968,811
152,"TreeTime_Custom",0.91358024691358,0.877624612676779,811
153,"ACE",0.893719806763285,0.848091704475273,829
153,"SIMMAP",0.898550724637681,0.849009661835749,829
153,"SAASI",0.954106280193237,0.935781557415045,829
153,"SAASI_pars",0.942028985507246,0.892454519597118,829
153,"PastML",0.888888888888889,0.80989725560535,829
153,"TreeTime_1.0",0.917874396135266,0.886430183241807,829
153,"TreeTime_Custom",0.920289855072464,0.898626324154948,829
154,"ACE",0.946601941747573,0.876568306863519,825
154,"SIMMAP",0.944174757281553,0.876529126213592,825
154,"SAASI",0.949029126213592,0.936959350689611,825
154,"SAASI_pars",0.949029126213592,0.897318114569847,825
154,"PastML",0.936893203883495,0.849999312639534,825
154,"TreeTime_1.0",0.963592233009709,0.928102008754176,825
154,"TreeTime_Custom",0.966019417475728,0.939091270752558,825
155,"ACE",0.940919037199125,0.867985657276491,915
155,"SIMMAP",0.947483588621444,0.87636761487965,915
155,"SAASI",0.958424507658643,0.942415023178587,915
155,"SAASI_pars",0.956236323851203,0.904852363747203,915
155,"PastML",0.884026258205689,0.828870647339512,915
155,"TreeTime_1.0",0.956236323851203,0.919769308311744,915
155,"TreeTime_Custom",0.964989059080963,0.9327652508058,915
156,"ACE",0.910344827586207,0.86076604937133,871
156,"SIMMAP",0.910344827586207,0.860137931034483,871
156,"SAASI",0.933333333333333,0.921525927360091,871
156,"SAASI_pars",0.924137931034483,0.884131175768829,871
156,"PastML",0.882758620689655,0.803988106081224,871
156,"TreeTime_1.0",0.908045977011494,0.870280676755682,871
156,"TreeTime_Custom",0.91264367816092,0.887867459484322,871
157,"ACE",0.96195652173913,0.907390899168662,737
157,"SIMMAP",0.956521739130435,0.906141304347826,737
157,"SAASI",0.97554347826087,0.956666564786229,737
157,"SAASI_pars",0.97554347826087,0.926750382811719,737
157,"PastML",0.956521739130435,0.87025853611929,737
157,"TreeTime_1.0",0.970108695652174,0.936526664305022,737
157,"TreeTime_Custom",0.972826086956522,0.944114263514434,737
158,"ACE",0.948837209302326,0.902250057005638,861
158,"SIMMAP",0.946511627906977,0.899023255813953,861
158,"SAASI",0.958139534883721,0.944454460597569,861
158,"SAASI_pars",0.951162790697674,0.914531178104033,861
158,"PastML",0.913953488372093,0.846252920764902,861
158,"TreeTime_1.0",0.955813953488372,0.917510350579578,861
158,"TreeTime_Custom",0.958139534883721,0.929065410670928,861
159,"ACE",0.916870415647922,0.833760830633672,819
159,"SIMMAP",0.914425427872861,0.841051344743276,819
159,"SAASI",0.948655256723716,0.928836519758722,819
159,"SAASI_pars",0.938875305623472,0.881195173507766,819
159,"PastML",0.867970660146699,0.762090137352585,819
159,"TreeTime_1.0",0.916870415647922,0.834683674821074,819
159,"TreeTime_Custom",0.9119804400978,0.86171009562899,819
16,"ACE",0.970802919708029,0.935078825731641,823
16,"SIMMAP",0.965936739659367,0.935425790754258,823
16,"SAASI",0.968369829683698,0.953307318065962,823
16,"SAASI_pars",0.968369829683698,0.937584903278012,823
16,"PastML",0.961070559610706,0.883849405808085,823
16,"TreeTime_1.0",0.97323600973236,0.953147231974421,823
16,"TreeTime_Custom",0.970802919708029,0.956613244663665,823
161,"ACE",0.927884615384615,0.892247162242142,833
161,"SIMMAP",0.918269230769231,0.888028846153846,833
161,"SAASI",0.956730769230769,0.937605452395125,833
161,"SAASI_pars",0.947115384615385,0.90672990548796,833
161,"PastML",0.913461538461538,0.841560916779803,833
161,"TreeTime_1.0",0.9375,0.91578109840145,833
161,"TreeTime_Custom",0.935096153846154,0.923334897232503,833
162,"ACE",0.96,0.9165430302115,751
162,"SIMMAP",0.954666666666667,0.916026666666667,751
162,"SAASI",0.981333333333333,0.959830278221887,751
162,"SAASI_pars",0.968,0.930706918132203,751
162,"PastML",0.938666666666667,0.843417359766535,751
162,"TreeTime_1.0",0.973333333333333,0.934509286750283,751
162,"TreeTime_Custom",0.976,0.944545436883395,751
163,"ACE",0.938423645320197,0.87880155280473,813
163,"SIMMAP",0.935960591133005,0.878768472906404,813
163,"SAASI",0.963054187192118,0.948394833574687,813
163,"SAASI_pars",0.96551724137931,0.911034933570035,813
163,"PastML",0.931034482758621,0.843261948583405,813
163,"TreeTime_1.0",0.967980295566502,0.93161391605585,813
163,"TreeTime_Custom",0.958128078817734,0.936958968314849,813
165,"ACE",0.883720930232558,0.850154663596791,775
165,"SIMMAP",0.878552971576227,0.847054263565892,775
165,"SAASI",0.925064599483204,0.909865031141253,775
165,"SAASI_pars",0.909560723514212,0.883120314568981,775
165,"PastML",0.878552971576227,0.838518359577232,775
